WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE,Date
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,19.0,999.0,999.0,99.0,99.0,2020/03/16 1600
999,5.7,6.2,99.0,99.0,99.0,999,9999.0,18.9,999.0,999.0,99.0,99.0,2020/03/16 1700
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,18.4,999.0,999.0,99.0,99.0,2020/03/16 1800
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,19.1,999.0,999.0,99.0,99.0,2020/03/16 1900
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,19.7,999.0,999.0,99.0,99.0,2020/03/16 2000
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,20.9,999.0,999.0,99.0,99.0,2020/03/16 2100
999,3.6,4.1,99.0,99.0,99.0,999,9999.0,20.8,999.0,999.0,99.0,99.0,2020/03/16 2200
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.6,999.0,999.0,99.0,99.0,2020/03/16 2300
999,4.6,4.6,99.0,99.0,99.0,999,9999.0,20.3,999.0,999.0,99.0,99.0,2020/03/17 0000
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,20.2,999.0,999.0,99.0,99.0,2020/03/17 0100
999,4.6,6.2,99.0,99.0,99.0,999,9999.0,19.9,999.0,999.0,99.0,99.0,2020/03/17 0200
999,5.7,6.7,99.0,99.0,99.0,999,9999.0,19.9,999.0,999.0,99.0,99.0,2020/03/17 0300
999,6.2,7.2,99.0,99.0,99.0,999,9999.0,19.6,999.0,999.0,99.0,99.0,2020/03/17 0400
999,5.1,6.2,99.0,99.0,99.0,999,9999.0,23.7,999.0,999.0,99.0,99.0,2020/03/17 0500
999,5.1,5.1,99.0,99.0,99.0,999,9999.0,21.5,999.0,999.0,99.0,99.0,2020/03/17 0600
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.8,999.0,999.0,99.0,99.0,2020/03/17 0700
999,3.6,4.6,99.0,99.0,99.0,999,9999.0,20.4,999.0,999.0,99.0,99.0,2020/03/17 0800
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,20.9,999.0,999.0,99.0,99.0,2020/03/17 0900
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/17 1000
999,3.1,4.1,99.0,99.0,99.0,999,9999.0,20.1,999.0,999.0,99.0,99.0,2020/03/17 1100
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.4,999.0,999.0,99.0,99.0,2020/03/17 1200
999,3.1,4.1,99.0,99.0,99.0,999,9999.0,19.6,999.0,999.0,99.0,99.0,2020/03/17 1300
999,3.6,3.6,99.0,99.0,99.0,999,9999.0,19.6,999.0,999.0,99.0,99.0,2020/03/17 1400
999,4.1,4.1,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/17 1500
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/17 1600
999,3.1,4.1,99.0,99.0,99.0,999,9999.0,19.5,999.0,999.0,99.0,99.0,2020/03/17 1700
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,19.4,999.0,999.0,99.0,99.0,2020/03/17 1800
999,4.6,5.1,99.0,99.0,99.0,999,9999.0,19.9,999.0,999.0,99.0,99.0,2020/03/17 1900
999,5.1,5.7,99.0,99.0,99.0,999,9999.0,20.4,999.0,999.0,99.0,99.0,2020/03/17 2000
999,4.1,4.6,99.0,99.0,99.0,999,9999.0,20.5,999.0,999.0,99.0,99.0,2020/03/17 2100
