WSPD,GST,ATMP,Date,Original_Data,UMAP-0,UMAP-1
0.615712884,0.445692785,-1.166549747,1547114400,1/10/2019 10:00,19.227129,-1.4302262
0.290217177,0.143133408,-1.187378876,1547118000,1/10/2019 11:00,19.169802,-1.2139885
0.452965031,0.294413096,-1.187378876,1547121600,1/10/2019 12:00,19.221819,-1.0816343
0.778460738,0.596972474,-1.229037132,1547125200,1/10/2019 13:00,19.325829,-0.7697452
0.778460738,0.7785081,-1.30193908,1547128800,1/10/2019 14:00,19.185246,-0.5704136
0.778460738,0.596972474,-1.281109952,1547132400,1/10/2019 15:00,19.209402,-0.35222048
0.615712884,0.445692785,-1.260280824,1547136000,1/10/2019 16:00,19.05398,-0.13666609
0.094919753,-0.008146281,-1.208208004,1547139600,1/10/2019 17:00,18.990477,0.035535183
-0.393323807,-0.492241285,-1.156135183,1547143200,1/10/2019 18:00,19.01364,0.23304896
-1.076864791,-0.946080351,-1.062404107,1547146800,1/10/2019 19:00,18.914825,0.46698183
-1.239612645,-1.430175354,-0.968673031,1547150400,1/10/2019 20:00,18.937506,0.4392173
-1.402360498,-1.248639728,-0.958258467,1547154000,1/10/2019 21:00,18.717241,0.36759534
-0.230575953,-0.340961596,-0.916600211,1547157600,1/10/2019 22:00,18.792902,0.5904162
-0.55607166,-0.340961596,-0.885356519,1547161200,1/10/2019 23:00,18.662563,0.82342166
-0.55607166,-0.492241285,-0.968673031,1547164800,1/11/2019 0:00,18.544477,0.9277756
-0.718819514,-0.794800662,-0.958258467,1547168400,1/11/2019 1:00,18.49822,1.0765718
-0.55607166,-0.794800662,-0.895771083,1547172000,1/11/2019 2:00,18.285023,1.048704
-0.55607166,-0.643520973,-0.927014775,1547175600,1/11/2019 3:00,18.293234,1.1990621
-0.393323807,-0.492241285,-0.979087595,1547179200,1/11/2019 4:00,17.965818,1.3772452
0.778460738,0.445692785,-1.072818671,1547182800,1/11/2019 5:00,17.799845,1.3898677
0.290217177,-0.008146281,-1.135306055,1547186400,1/11/2019 6:00,17.67354,1.5220734
0.094919753,-0.15942597,-1.176964312,1547190000,1/11/2019 7:00,17.493582,1.6940415
0.452965031,0.294413096,-1.156135183,1547193600,1/11/2019 8:00,17.574018,1.5623033
0.941208591,0.596972474,-1.145720619,1547197200,1/11/2019 9:00,17.432434,1.6640936
0.778460738,0.445692785,-1.19779344,1547200800,1/11/2019 10:00,17.533014,1.8528988
0.941208591,0.7785081,-1.208208004,1547204400,1/11/2019 11:00,17.189114,1.6677958
1.103956445,0.929787789,-1.187378876,1547208000,1/11/2019 12:00,17.044882,1.5920007
0.941208591,0.7785081,-1.187378876,1547211600,1/11/2019 13:00,16.897682,1.3621464
1.103956445,0.929787789,-1.19779344,1547215200,1/11/2019 14:00,16.799051,1.3436021
0.941208591,0.7785081,-1.166549747,1547218800,1/11/2019 15:00,16.549183,1.2882036
0.778460738,0.596972474,-1.166549747,1547222400,1/11/2019 16:00,16.55707,1.2082273
0.615712884,0.445692785,-1.135306055,1547226000,1/11/2019 17:00,16.48108,1.2028567
0.615712884,0.445692785,-1.114476927,1547229600,1/11/2019 18:00,16.428864,0.993196
0.615712884,0.445692785,-1.072818671,1547233200,1/11/2019 19:00,16.42932,0.81838757
0.778460738,0.596972474,-0.989502159,1547236800,1/11/2019 20:00,16.497595,0.81968164
0.778460738,0.596972474,-0.916600211,1547240400,1/11/2019 21:00,16.516424,0.614224
0.290217177,0.143133408,-0.864527391,1547244000,1/11/2019 22:00,16.697836,0.67452264
-0.0678281,-0.15942597,-0.864527391,1547247600,1/11/2019 23:00,16.578722,0.3972284
-0.230575953,-0.492241285,-0.895771083,1547251200,1/12/2019 0:00,16.486769,0.31627887
0.094919753,-0.008146281,-0.864527391,1547254800,1/12/2019 1:00,16.454556,0.17928496
0.615712884,0.445692785,-0.833283699,1547258400,1/12/2019 2:00,16.567305,0.036529556
0.778460738,0.7785081,-0.864527391,1547262000,1/12/2019 3:00,16.61265,-0.093306154
0.941208591,0.7785081,-0.874941955,1547265600,1/12/2019 4:00,16.697763,-0.33182213
1.462001722,1.383626854,-0.885356519,1547269200,1/12/2019 5:00,16.59186,-0.32529542
0.941208591,0.929787789,-0.885356519,1547272800,1/12/2019 6:00,16.47143,-0.46903083
1.103956445,1.081067477,-0.906185647,1547276400,1/12/2019 7:00,16.385014,-0.43938273
1.299253869,1.081067477,-0.906185647,1547280000,1/12/2019 8:00,16.267551,-0.42713648
0.094919753,-0.008146281,-0.916600211,1547283600,1/12/2019 9:00,16.132624,-0.44577596
0.290217177,-0.008146281,-0.854112827,1547287200,1/12/2019 10:00,16.043184,-0.47277027
0.615712884,0.445692785,-0.65623611,1547290800,1/12/2019 11:00,15.976665,-0.3373497
0.094919753,0.143133408,-0.229238985,1547294400,1/12/2019 12:00,15.947088,-0.3481096
-0.393323807,-0.340961596,-0.385457446,1547298000,1/12/2019 13:00,15.728123,-0.17189519
0.290217177,0.294413096,-0.406286574,1547301600,1/12/2019 14:00,15.554131,-0.08519188
-0.0678281,-0.008146281,-0.385457446,1547305200,1/12/2019 15:00,15.439989,0.094521135
-0.718819514,-0.340961596,-0.39587201,1547308800,1/12/2019 16:00,15.380987,0.19878429
-0.0678281,0.143133408,-0.687479802,1547312400,1/12/2019 17:00,15.456421,0.29741824
-1.076864791,-1.097360039,-0.677065238,1547316000,1/12/2019 18:00,15.570051,0.5583792
-0.55607166,-0.492241285,-0.614577854,1547319600,1/12/2019 19:00,15.567219,0.49534816
-0.718819514,-0.492241285,-0.55209047,1547323200,1/12/2019 20:00,15.504004,0.76730233
0.452965031,0.294413096,-0.60416329,1547326800,1/12/2019 21:00,15.36472,1.0259317
0.452965031,0.143133408,-0.614577854,1547330400,1/12/2019 22:00,15.278426,1.1072778
0.290217177,0.294413096,-0.583334162,1547334000,1/12/2019 23:00,15.1809635,1.3369949
0.615712884,0.294413096,-0.624992418,1547337600,1/13/2019 0:00,15.043259,1.4100257
0.941208591,0.596972474,-0.635406982,1547341200,1/13/2019 1:00,15.052427,1.6423374
1.103956445,0.929787789,-0.60416329,1547344800,1/13/2019 2:00,14.7759495,1.5718768
1.103956445,1.081067477,-0.614577854,1547348400,1/13/2019 3:00,14.967623,1.5434171
1.462001722,1.232347166,-0.729138059,1547352000,1/13/2019 4:00,14.875243,1.4383857
0.941208591,1.081067477,-0.822869135,1547355600,1/13/2019 5:00,15.032342,1.2438706
