Row ID,Battery Life,Beach Name,Component_0,Component_1,Component_2,Measurement Timestamp,Turbidity,UMAP-0,UMAP-1,Water Temperature,Wave Height,Wave Period
165,1,0,-26.8379,-14.1513,3.33328,1403164800,0,0.959365,-8.03242,-1,1,0
166,1,0,-26.9802,-13.7104,3.70458,1403168400,0,4.4534,8.07979,-1,1,-1
167,1,0,-27.0829,-13.2347,4.0819,1403172000,0,18.3146,-1.44281,-1,1,-1
168,1,0,-27.1416,-12.7415,4.44704,1403175600,0,-3.99274,17.8872,-1,0,-1
169,1,0,-27.1531,-12.246,4.79789,1403179200,0,18.522,2.175,-1,0,0
170,1,0,-27.1145,-11.7345,5.14707,1403182800,0,-3.04124,-7.65598,-1,0,-1
171,0,0,-27.0312,-11.2299,5.47347,1403186400,0,-7.75012,8.1482,-1,0,-1
172,1,0,-26.8968,-10.7086,5.79993,1403190000,0,14.6068,-5.80556,-1,1,0
173,1,0,-26.7194,-10.1983,6.10272,1403193600,0,1.12696,10.0472,-1,1,0
174,1,0,-26.4911,-9.68366,6.39388,1403197200,0,16.6727,3.34568,-1,1,0
175,1,0,-26.2209,-9.20141,6.66023,1403200800,0,11.7919,-8.93079,-1,1,-1
176,1,0,-25.9118,-8.7263,6.90857,1403204400,0,7.07692,10.6868,-1,1,-1
177,0,0,-25.5645,-8.26981,7.12885,1403208000,0,16.0232,-1.55958,0,1,-1
178,0,0,-25.1841,-7.8311,7.31987,1403211600,0,9.63191,-2.46736,0,1,-1
179,1,0,-24.7648,-7.4062,7.48413,1403215200,0,18.114,1.07037,0,1,-1
180,1,0,-24.3233,-7.01367,7.62281,1403218800,0,-11.9381,5.91734,-1,1,-1
181,1,0,-23.855,-6.64404,7.73716,1403222400,0,0.768734,-11.8773,-1,0,-1
182,0,0,-23.3697,-6.2977,7.83263,1403226000,0,10.2985,-11.2528,-1,0,-1
183,0,0,-22.8589,-5.97703,7.91567,1403229600,0,9.43365,7.41664,-1,0,-1
184,1,0,-22.3435,-5.68571,7.98773,1403233200,0,7.03272,15.6018,-1,0,-1
185,0,0,-21.8038,-5.41632,8.05767,1403236800,0,-9.96987,10.1397,-1,0,-1
186,0,0,-21.2614,-5.18177,8.12622,1403240400,0,7.63003,-8.80997,-1,0,-1
187,0,0,-20.692,-4.97555,8.20048,1403244000,0,11.6184,-4.22261,-1,0,-1
188,0,0,-20.1112,-4.79932,8.27703,1403247600,0,-10.4556,12.2264,-1,0,-1
189,0,0,-19.5288,-4.6548,8.3536,1403251200,0,-1.21429,-5.9722,-1,0,-1
190,0,0,-18.9594,-4.54302,8.42652,1403254800,0,2.77358,-11.2781,-1,0,-1
191,0,0,-18.401,-4.45701,8.4954,1403258400,0,19.7837,3.78557,-1,0,-1
192,0,0,-17.9304,-4.40106,8.55177,1403262000,0,14.0812,15.1957,0,0,-1
193,0,0,-17.5115,-4.36756,8.60172,1403265600,0,-9.63707,-3.32283,0,0,-1
